10, Torpedo Strike Bomber, 		1, 1050000, 45, 14,	120, 10, 45, 0.85, 2,	25, 1.0, 1, 81, 55,	1, 1, 54, 320, 15,  170, 2, 2700,	torpedo_medium.wav
11, Torpedo Assault Bomber, 		1, 1350000, 50, 16,	130, 10, 50, 0.9,  3,	30, 1.25,  1, 83, 60,	1, 3, 66, 340, 15,  180, 2, 2700,	torpedo_large.wav

12, Missile Bomber, 			1, 390000, 35, 11,	100, 10, 35, 0.75, 1,	15, 0.6,  0, 77, 45,	2, 6, 18, 460, 15, 230, 0, 2700,	missile_launch.wav
13, Tactical Missile Bomber,		1, 750000, 40, 12,	110, 10, 40, 0.8, 2,	20, 0.75, 0, 79, 50,	2, 6, 21, 510, 15, 250, 0, 2700,	missile_launch.wav
14, Advanced Missile Bomber, 		1, 1050000, 45, 14,	120, 10, 45, 0.8,  2,	25, 1.0,  1, 81, 55,	2, 7, 24, 560, 15, 270, 0, 2700,	missile_launch.wav
15, Missile Strike Bomber, 		1, 1350000, 50, 16,	130, 10, 50, 0.9, 3,	30, 1.25, 1, 83, 60,	2, 7, 30, 620, 15, 290, 0, 2700,	missile_launch.wav
16, Missile Assault Bomber,		1, 1650000, 55, 18,	135, 10, 50, 0.9,  3,	35, 1.5,  1, 85, 65,	2, 7, 33, 640, 15, 300, 0, 2700,	missile_launch.wav

17, Alpha Star-Fighter,			0, 1485000, 60, 18,	195, 10, 72, 1.25, 3,	40, 1.75, 2, 98, 70,	0, 3,  7, 300,  4, 520, 2,  700,	laser4.wav
18, Omega Star-Bomber,			1, 1485000, 60, 20,	140, 10, 55, 1.0,  3,	45, 2.0,  2, 91, 75,	1, 3, 75, 400, 15,  200, 1, 2700,	torpedo_large.wav
19, "Black Edition" Star-Bomber,	1, 1485000, 55, 16,	145, 10, 55, 1.0,  3,	45, 2.0,  2, 91, 75,	2, 7, 42, 650,  15,  340, 0, 2700,	missile_launch.wav

20, Wyrm Fighter, 			0, 315000, 35, 9,	120, 10, 42, 0.87, 1,	15, 0.6, 0, 83, 45,	0, 0, 4, 180, 4, 410, 1, 700,		laser.wav
21, Wyvern Interceptor, 		0, 915000, 45, 12,	150, 10, 54, 1.01, 2,	25, 1.0, 1, 89, 55,	0, 1, 6, 220, 4, 450, 1, 700,		laser2.wav
22, Dragoon Star-Fighter, 		0, 1275000, 50, 14,	172, 10, 60, 1.15, 3,	30, 1.25, 1, 92, 60,	0, 3, 8, 240, 4, 480, 1, 700,		laser4.wav

23, Wyrm Bomber, 			1, 405000, 35, 11,	100, 10, 35, 0.75, 1,	15, 0.6, 0, 77, 45,	1, 0, 42, 290, 15, 150, 2, 2700,	torpedo_small.wav
24, Wyvern Assault Bomber, 		1, 1065000, 45, 14,	120, 10, 45, 0.85, 2,	25, 1.0, 1, 81, 55,	1, 1, 54, 320, 15, 170, 2, 2700,	torpedo_medium.wav
25, Dragoon Star-Bomber, 		1, 1425000, 50, 16,	130, 10, 50, 1.0, 3,	30, 1.25, 1, 83, 60,	1, 3, 75, 340, 15, 180, 2, 2700,	torpedo_large.wav
