'Distant Worlds Racial Biases - version 1.10.0.0

'determines natural bias of each race towards other races
'this bias can be either positive or negative
'maximum value is 50, minimum value is -50
'each row determines the natural bias feelings of the race named at left to all races
'  each bias value (column) in the row is how the named race feels towards the race matching the index number for the column
'  e.g. Ketarov has natural +15 bias towards other Ketarovs (race index 0), +15 bias towards Atuuk (race index 1), 0 bias towards Gizurean (race index 2), etc

'#, Name,		 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45
 9, Naxxilian,10,-40,-40,-40,-40,-40,10,-40,10,-20,-40,-40,-40,-40,10,-40,-40,-40,-40,10,-40,-40,10,-40,-40,-40,-40,10,-40,-40,-40,10,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,20,-30,-15,-20
10, Zenox,-40,10,-40,-40,-40,10,-40,10,-40,-40,-20,10,10,-40,-40,10,-40,-40,-40,-40,-40,-40,-40,10,-40,-40,-40,-40,-40,10,-40,-40,-40,-40,-40,10,10,-40,-40,-40,-40,0,-10,-30,-10,-20
11, Teekan,-10,40,-10,-10,-10,40,-10,40,-10,-10,40,20,40,-10,-10,40,-10,-10,-10,-10,-10,-10,-10,40,-10,-10,-10,-10,-10,40,-10,-10,-10,-10,-10,40,40,-10,-10,-10,-10,0,-15,-30,-10,-20
12, Wekkarus,-45,0,-45,-45,-45,0,-45,0,-45,-45,0,0,-25,-45,-45,0,-45,-45,-45,-45,-45,-45,-45,0,-45,-45,-45,-45,-45,0,-45,-45,-45,-45,-45,0,0,-45,-45,-45,-45,30,-15,-30,-15,-20
13, Boskara,-40,-40,10,10,-40,-40,-40,-40,-40,-40,-40,-40,-40,-20,-40,-40,-40,10,-40,-40,10,-40,-40,-40,-40,10,10,-40,-40,-40,-40,-40,-40,-40,10,-40,-40,10,-40,-40,-40,-30,-40,-30,-40,-20
14, Shandar,30,-20,-20,-20,-20,-20,30,-20,30,30,-20,-20,-20,-20,10,-20,-20,-20,-20,30,-20,-20,30,-20,-20,-20,-20,30,-20,-20,-20,30,-20,-20,-20,-20,-20,-20,-20,-20,-20,0,-10,-30,-10,-20
15, Ugnari,-10,40,-10,-10,-10,40,-10,40,-10,-10,40,40,40,-10,-10,20,-10,-10,-10,-10,-10,-10,-10,40,-10,-10,-10,-10,-10,40,-10,-10,-10,-10,-10,40,40,-10,-10,-10,-10,0,-10,-30,-10,-20
16, Kiadian,-20,-20,-20,-20,30,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,10,-20,30,-20,-20,30,-20,-20,30,-20,-20,-20,30,-20,30,-20,30,30,-20,-20,-20,-20,30,30,30,0,-10,-30,0,-20
17, Sluken,-45,-45,0,0,-45,-45,-45,-45,-45,-45,-45,-45,-45,0,-45,-45,-45,-25,-45,-45,0,-45,-45,-45,-45,0,0,-45,-45,-45,-45,-45,-45,-45,0,-45,-45,0,-45,-45,-45,-30,-40,-30,-40,-20
18, Securan,-10,-10,-10,-10,40,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,40,-10,20,-10,-10,40,-10,-10,40,-10,-10,-10,40,-10,40,-10,40,40,-10,-10,-10,-10,40,40,40,0,0,-30,0,-20
19, Ikkuro,10,-40,-40,-40,-40,-40,10,-40,10,10,-40,-40,-40,-40,10,-40,-40,-40,-40,-20,-40,-40,10,-40,-40,-40,-40,10,-40,-40,-40,10,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-15,-30,-15,-20
20, Shakturi,-50,-50,-10,-10,-50,-50,-50,-50,-50,-50,-50,-50,-50,-10,-50,-50,-50,-10,-50,-50,-30,-50,-50,-50,-50,-10,-10,-50,-50,-50,-50,-50,-50,-50,-10,-50,-50,-10,-50,-50,-50,-40,-50,-30,-40,-20
21, Mechanoid,-50,-50,-50,-50,-10,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-10,-50,-10,-50,-50,-30,-50,-50,-10,-50,-50,-50,-10,-50,-10,-50,-10,-10,-50,-50,-50,-50,-10,-10,-10,0,-15,-10,-10,-10
22, Keskudon,0,-45,-45,-45,-45,-45,0,-45,0,0,-45,-45,-45,-45,0,-45,-45,-45,-45,0,-45,-45,-25,-45,-45,-45,-45,0,-45,-45,-45,0,-45,-45,-45,-45,-45,-45,-45,-45,-45,-30,-40,-30,-40,-20
23, Tairoshan,0,45,0,0,0,45,0,45,0,0,45,45,45,0,0,45,0,0,0,0,0,0,0,25,0,0,0,0,0,45,0,0,0,0,0,45,45,0,0,0,0,0,0,-30,-10,-20
24, Enton,-40,-40,-40,-40,10,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,10,-40,10,-40,-40,10,-40,-40,-20,-40,-40,-40,10,-40,10,-40,10,10,-40,-40,-40,-40,10,10,10,0,-10,-30,-10,-20
25, Lipid,-20,-20,30,30,-20,-20,-20,-20,-20,-20,-20,-20,-20,30,-20,-20,-20,30,-20,-20,30,-20,-20,-20,-20,10,30,-20,-20,-20,-20,-20,-20,-20,30,-20,-20,30,-20,-20,-20,30,-10,-30,-15,-20
26, Phaerax,-40,-40,10,10,-40,-40,-40,-40,-40,-40,-40,-40,-40,10,-40,-40,-40,10,-40,-40,10,-40,-40,-40,-40,10,-20,-40,-40,-40,-40,-40,-40,-40,10,-40,-40,10,-40,-40,-40,-30,-15,-30,-40,-20
27, Visareen,10,-40,-40,-40,-40,-40,10,-40,10,10,-40,-40,-40,-40,10,-40,-40,-40,-40,10,-40,-40,10,-40,-40,-40,-40,-20,-40,-40,-40,10,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,10,-30,-15,-20
28, Riktoh,-30,-30,-30,-30,20,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,20,-30,20,-30,-30,20,-30,-30,20,-30,-30,-30,-10,-30,20,-30,20,20,-30,-30,-30,-30,20,20,20,-10,-30,-10,-20
29, Jintus,-30,20,-30,-30,-30,20,-30,20,-30,-30,20,20,20,-30,-30,20,-30,-30,-30,-30,-30,-30,-30,20,-30,-30,-30,-30,-30,-10,-30,-30,-30,-30,-30,20,20,-30,-30,-30,-30,0,-15,-30,-10,-20
30, Napoar,-10,-10,-10,-10,40,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,40,-10,40,-10,-10,40,-10,-10,40,-10,-10,-10,40,-10,20,-10,40,40,-10,-10,-10,-10,40,40,40,0,-15,-10,-25,-10
31, Caleph,10,-40,-40,-40,-40,-40,10,-40,10,10,-40,-40,-40,-40,10,-40,-40,-40,-40,10,-40,-40,10,-40,-40,-40,-40,10,-40,-40,-40,-20,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-10,-30,-15,-20
32, XHuman,-10,-10,-10,-10,40,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,40,-10,40,-10,-10,40,-10,-10,40,-10,-10,-10,40,-10,40,-10,20,40,-10,-10,-10,-10,40,40,40,0,0,-30,20,-20
33, Ortain,-40,-40,-40,-40,10,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,10,-40,10,-40,-40,10,-40,-40,10,-40,-40,-40,10,-40,10,-40,10,-20,-40,-40,-40,-40,10,10,10,-30,-20,-10,-25,0
34, Paratis,-40,-40,10,10,-40,-40,-40,-40,-40,-40,-40,-40,-40,10,-40,-40,-40,10,-40,-40,10,-40,-40,-40,-40,10,10,-40,-40,-40,-40,-40,-40,-40,-20,-40,-40,10,-40,-40,-40,0,-15,-30,-15,-20
35, Tarapin,-20,30,-20,-20,-20,30,-20,30,-20,-20,30,30,30,-20,-20,30,-20,-20,-20,-20,-20,-20,-20,30,-20,-20,-20,-20,-20,30,-20,-20,-20,-20,-20,10,30,-20,-20,-20,-20,30,10,-30,-10,-20
36, Lemeresh,-50,-10,-50,-50,-50,-10,-50,-10,-50,-50,-10,-10,-10,-50,-50,-10,-50,-50,-50,-50,-50,-50,-50,-10,-50,-50,-50,-50,-50,-10,-50,-50,-50,-50,-50,-10,-30,-50,-50,-50,-50,-30,-15,-30,-15,-20
37, Yor,-35,-35,15,15,-35,-35,-35,-35,-35,-35,-35,-35,-35,15,-35,-35,-35,15,-35,-35,15,-35,-35,-35,-35,15,15,-35,-35,-35,-35,-35,-35,-35,15,-35,-35,-15,-35,-35,-35,0,-40,-30,-40,-20
38, Banoserit,-20,-20,-20,-20,30,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,30,-20,30,-20,-20,30,-20,-20,30,-20,-20,-20,30,-20,30,-20,30,30,-20,-20,-20,-20,10,30,30,0,-15,-30,-15,-20
39, Yl'ta,-30,-30,-30,-30,20,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,20,-30,20,-30,-30,20,-30,-30,20,-30,-30,-30,20,-30,20,-30,20,20,-30,-30,-30,-30,20,-10,20,0,-20,-30,10,-20
40, Hiigaran,-10,-10,-10,-10,20,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,40,-10,40,-10,-10,40,-10,-10,40,-10,-10,-10,40,-10,40,-10,40,40,-10,-10,-10,-10,40,40,20,0,-10,-30,20,-20
41, Abbidon,0,0,-30,-30,0,30,0,30,-10,0,0,0,30,-30,0,0,0,-30,0,0,-40,0,-30,0,0,30,-30,0,0,0,0,0,0,-30,0,30,-30,0,0,0,0,50,15,-30,-15,-20
42, Amonkrie,-10,-10,-40,-40,-10,-15,15,-10,0,20,-10,-15,-15,-40,-10,-10,-10,-40,0,-15,-50,-15,-40,0,-10,-10,-15,10,-10,-15,-15,-10,0,-20,-15,10,-15,-40,-15,-20,-10,-15,30,-30,-15,-20
43, Core,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-10,-30,-30,-30,-30,-30,-30,-30,-30,-10,-30,-30,-10,-30,-30,-30,-30,-30,-30,-30,-30,-30,0,-50,-10
44, Arm,-10,-10,-40,-40,20,-15,-15,-10,-20,-15,-10,-10,-15,-40,-10,-10,0,-40,0,-15,-40,-10,-40,-10,-10,-15,-40,-15,-10,-10,-25,-15,20,-25,-15,-10,-15,-40,-15,-10,20,-15,-15,-50,20,-20
45, Drushocka,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0,-20,-20,-20,-20,-20,-20,-20,-20,0,-20,-20,0,-20,-20,-20,-20,-20,-20,-20,-20,-20,0,-20,0
