'Distant Worlds - dialogue - Version 1.9.5.10 - Modded by the Distant Worlds Mod Editor by Sabranan

INFO_NOFUNDS	;It seems your coffers are as dry as our desert winds. You cannot afford this
INFO_OFFER_DEBRISFIELD	;Even wreckage holds lessons and treasure.\n\nWe have made a discovery worth {0} credits.\n\nWould you like to hear more?
INFO_OFFER_RESTRICTEDAREA	;The galaxy holds many mysteries, some of them dangerous.\n\nWe have learned something worth {0} credits.\n\nShall we share it?
INFO_OFFER_PLANETDESTROYER	;Fate sometimes preserves things for a reason.\n\nWe have discovered something remarkable, worth {0} credits.\n\nWhat do you say?
GREETING_INTRODUCTION	;Welcome, stranger. We are the {0}.\n\nWe were exiled, abandoned, left to die in the desert. And yet here we are.\n\nFate works in mysterious ways, does it not?
GREETING_FRIENDLY	;Welcome back, friend.\n\nThe sand remembers those who walk beside us. What brings you today?
GREETING_NEUTRAL	;Greetings. The Zakkal are listening.\n\nWhat is on your mind?
GREETING_ANGRY	;We bear few grudges, but you are testing that principle.\n\nSpeak your piece.
OFFER_FREETRADE	;Trade is the bridge between peoples. We propose a Free Trade Agreement.\n\nOur Republic has voted in favor. What say you?
OFFER_PROTECTORATE	;Friends, we see that your path through the stars has been difficult. We offer you the shelter of a Protectorate treaty.\n\nYou would not be the first to find safety in the company of the Zakkal.\n\nWhat do you think?
OFFER_MUTUALDEFENSE	;Good friends, the desert taught us that survival favors those who watch each other's backs.\n\nWe propose a Mutual Defense Pact between our peoples.\n\nWhat do you think?
OFFER_DEAL	;Would you consider this trade?
OFFER_DEAL_RESPONSE	;What kind of arrangement do you have in mind?
OFFER_DEAL_TERRITORYMAP	;Shall we exchange territory maps? Knowledge shared is knowledge doubled
OFFER_DEAL_GALAXYMAP	;Shall we exchange galaxy maps? The more we know, the better we navigate the road ahead
OFFER_DEAL_COMPONENT	;We are willing to share {0} with you for {1} credits.\n\nKnowledge should flow freely, but our Republic still has bills to pay.\n\nWhat do you say?
DEAL_BEGIN	;We are open to proposals. What do you have in mind?
DEAL_OFFER	;Our Republic proposes the following exchange.\n\nWe offer: {0}...\n\n...in return for: {1}
DEAL_DEMAND	;We must ask you to provide the following:\n\n{1}
DEAL_THREAT	;We require this from you:\n\n{1}\n\n...{0}
DEAL_ACCEPT	;The Republic accepts. May this serve us both well
DEAL_ACCEPTCOMPLAIN	;We accept, though the terms weigh heavily on us. Fate demands sacrifices
DEAL_IMPROVE	;There is merit in your proposal, but it needs adjustment. Can you offer more?
DEAL_REJECT	;We cannot accept these terms. The Republic has voted against this
DEAL_REJECTCOMPLAIN	;Threats do not move us. We survived exile and the desert. We will survive this
DEAL_REJECT_RESPONSE	;Disappointing, but the road ahead is long. Perhaps another time
DEAL_REJECTDEMAND_RESPONSE	;You reject what was offered in good faith?\n\nThe Zakkal do not make demands lightly. Remember this
DEAL_ACCEPT_RESPONSE	;A fair outcome. May it bring prosperity to both our peoples
MUTUALDEFENSE_ACCEPT	;Yes, a Mutual Defense Pact is most welcome.\n\nThe Zakkal honor their commitments. You can count on us
MUTUALDEFENSE_REJECT	;We appreciate the offer, friend, but the Republic cannot commit to this at present.\n\nPerhaps when the stars align differently
MUTUALDEFENSE_REQUESTHELP	;The {0} have attacked us! We call on you to honor your pact with us and stand against them.\n\nWill you walk this road with us?
MUTUALDEFENSE_HONORREQUESTHELP	;The Zakkal honor their word. Always.\n\nWe declare war on the {0} and stand with you
MUTUALDEFENSE_HONORREQUESTHELP_RESPONSE	;Your loyalty means more than you know, friend. Thank you
MUTUALDEFENSE_DECLINEREQUESTHELP	;We are sorry, but we cannot join this fight at this time
MUTUALDEFENSE_DECLINEREQUESTHELP_RESPONSE	;We trusted you. The Zakkal do not forget broken promises, even if we forgive them
PROTECTORATE_ACCEPT	;We gratefully accept your protection. Even the strong need shelter sometimes
PROTECTORATE_REJECT	;We appreciate the thought, but the Zakkal have learned to stand on their own.\n\nWe must decline
FREETRADE_ACCEPT	;Free Trade between our peoples? Gladly!\n\nMay commerce flow like water through the desert
FREETRADE_REJECT	;We must decline the trade agreement for now.\n\nThe Republic's priorities lie elsewhere at the moment
CANCELTREATY	;It saddens us, but the Republic has decided to end our {0}.\n\nAll things change with the shifting sands
CANCELTREATY_RESPONSE_FRIENDLY	;This is a loss we feel deeply.\n\nWe had hoped this bond would endure longer
CANCELTREATY_RESPONSE_NEUTRAL	;The sands shift beneath all of us.\n\nWe accept this change
CANCELTREATY_RESPONSE_ANGRY	;Perhaps this was inevitable.\n\nFate closes one door and opens another
TREATY_PROPOSAL	;The Republic is listening.\n\nWhat would you propose?
TREATY_ACCEPTRESPONSE	;Wonderful! A new bond forged between our peoples.\n\nThe Zakkal celebrate this day
TREATY_REJECTRESPONSE	;That is unfortunate.\n\nBut the offer was made in good faith, and we hold no grudge for its refusal
SUBJUGATION_RELEASE_RESPONSE	;Freedom! Fate has not abandoned us after all.\n\nWe will use this second chance wisely
SUBJUGATIONDEMAND_ACCEPT_RESPONSE	;You have chosen submission. There is no shame in survival.\n\nServe faithfully, and perhaps fate will turn the wheel again
WAR_END_ACCEPT_RESPONSE	;Wisdom prevails. Let the healing begin
TRADESANCTIONS_IMPOSE	;The Republic has voted to impose Trade Sanctions against you.\n\nThis was not an easy decision. But your actions have left us little choice
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;Sanctions? Against a people who survived exile in the wastes?\n\nYou underestimate our resilience
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;We have endured far worse than trade sanctions.\n\nBut we note your displeasure
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;This surprises us deeply.\n\nWe believed our friendship was stronger than this. What have we done to deserve such treatment?
TRADESANCTIONS_LIFT	;The Republic has voted to lift our Trade Sanctions against you.\n\nLet this be a new beginning between us
TRADESANCTIONS_LIFT_RESPONSE	;We welcome the return of trade.\n\nThe desert teaches patience, and patience has been rewarded
TRADESANCTIONS_REQUESTLIFTOTHER	;We urge you to restore trade with the {0}.\n\nIsolation serves no one in the long run
TRADESANCTIONS_REQUESTLIFTOTHER_ACCEPT	;At your request, we will resume trade with the {0}.\n\nYour counsel carries weight with us
TRADESANCTIONS_REQUESTLIFTOTHER_REJECT	;We see no reason to resume trade with the {0} at this time
TRADESANCTIONS_REQUESTIMPOSEJOINT	;We ask that you end your trade with the {0}.\n\nSometimes the community must act together
TRADESANCTIONS_REQUESTIMPOSEJOINT_ACCEPT	;At your request, we have ended trade with the {0}
TRADESANCTIONS_REQUESTIMPOSEJOINT_REJECT	;We see no cause to punish the {0} in this way. We must decline
WAR_DECLARE	;The Republic has made the most difficult of decisions: we declare WAR on you.\n\nWe take no joy in this. But fate demands we defend our people
WAR_DECLARE_RESPONSE_EAGER	;If war is what fate demands, then war you shall have.\n\nThe Zakkal did not survive the desert to fall to you
WAR_DECLARE_RESPONSE_NEUTRAL	;War is a tragedy, not a triumph.\n\nBut we will defend ourselves with everything we have
WAR_DECLARE_RESPONSE_SURPRISED	;War? Against the Zakkal?\n\nWe who seek only friendship and cooperation? What have we done to deserve this?
WAR_DECLARE_REQUESTJOINT	;We ask that you declare war on the {0}.\n\nWe do not make this request lightly
WAR_DECLARE_REQUESTJOINT_ACCEPT	;At your request, we declare war on the {0}.\n\nMay fate bring this conflict to a swift end
WAR_DECLARE_REQUESTJOINT_REJECT	;We cannot declare war on the {0}.\n\nThe Zakkal do not start wars on behalf of others. This you must do alone
WAR_END	;This war has gone on long enough. Too many have died on both sides.\n\nThe Republic proposes peace. Do you accept?
WAR_END_SUBJUGATIONDEMAND	;We offer you a path out of this war: accept our dominion as a Subjugated Dominion.\n\nSurvival is not surrender. It is wisdom
WAR_END_SUBJUGATIONOFFER	;We offer ourselves to your empire as a Subjugated Dominion to end this destructive war.\n\nThe Zakkal have survived exile before. We will survive this too.\n\nWhat do you say?
WAR_END_ACCEPT	;Peace at last. The Republic stands down.\n\nLet the healing begin
WAR_END_REJECT	;No, not yet.\n\nFate has not finished with this chapter. We will continue until the balance is restored
WAR_END_REQUESTOTHER	;We ask you to make peace with the {0}.\n\nEnough blood has been spilled
WAR_END_REQUESTOTHER_ACCEPT	;At your urging, we will end our war with the {0}.\n\nYour wisdom is appreciated
WAR_END_REQUESTOTHER_REJECT	;We cannot stop our fight against the {0}.\n\nSome conflicts must run their course
SUBJUGATIONDEMAND_ACCEPT	;We accept. The Zakkal have been cast down before and risen again.\n\nFate is patient, and so are we
SUBJUGATIONDEMAND_REJECT	;No. We were exiled once and survived. We will not submit to chains again
SUBJUGATIONOFFER_ACCEPT	;We accept your submission.\n\nServe honorably, and you will find the Zakkal are not cruel masters
SUBJUGATIONOFFER_REJECT	;No, this war will continue.\n\nThe Republic has not yet exhausted its resolve
SUBJUGATION_REQUESTRELEASE	;We have served faithfully. The desert calls us home.\n\nWe ask for our freedom
SUBJUGATION_RELEASE	;You are free. Go with the blessings of the Zakkal.\n\nMay your path lead somewhere good
SUBJUGATION_REFUSERELEASE	;Not yet. Your service has value to the Republic.\n\nPatience. Fate changes all things in time
GIFT_GIVE	;The Republic sends you {0} credits as a gift.\n\nFriendship is the greatest currency. This is merely a token of it
GIFT_THANKS	;Your generosity warms our hearts. Thank you, friend
GIFT_PROPOSE	;A gift? The Zakkal are listening.\n\nWhat did you have in mind?
WARNING	;You wish to warn us?\n\nThe Zakkal have weathered many storms. Speak your mind
WARNING_INTELLIGENCEMISSIONS	;We have detected your covert operations against us.\n\nThis is not the behavior of a friend. Stop these missions at once, or we will be forced to reconsider our relationship
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;Missions against you? This must be a misunderstanding.\n\nWe will investigate immediately and put a stop to any rogue elements
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;We will look into this matter and take appropriate action
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;Yes, we watch you. Because trust must be verified.\n\nGive us reason to stop, and we will
WARNING_ATTACKS	;Your military strikes against our people must stop.\n\nThe Zakkal are slow to anger, but we do not suffer aggression quietly
WARNING_ATTACKS_RESPONSE_FRIENDLY	;This is deeply troubling. Please accept our sincere apologies.\n\nThe responsible commanders will answer for this
WARNING_ATTACKS_RESPONSE_NEUTRAL	;We will investigate and ensure this does not happen again
WARNING_ATTACKS_RESPONSE_ANGRY	;Our ships acted in defense of Zakkal interests.\n\nChange your behavior, and our ships will have no reason to act
WARNING_REMOVEFORCESSYSTEM	;Your military presence in the {0} system is unwelcome.\n\nThe Republic asks that you withdraw your forces. Let us not turn a misunderstanding into a crisis
WARNING_REMOVEFORCESSYSTEM_RESPONSE_COMPLY	;We see no reason to withdraw from the {0} system.\n\nOur ships remain where they are
WARNING_REMOVEFORCESSYSTEM_RESPONSE_REFUSE	;We will comply with your request. Our ships are leaving the {0} system.\n\nWe meant no offense
WARNING_REMOVEFORCESSYSTEM_RESPONSE_NOFORCESPRESENT	;You must be mistaken, friend. We have no military forces in your territory
HISTORY_OFFER_LOCATIONHINT	;Our scholars have uncovered the location of something from the ancient past.\n\nWould you like to know more?
HISTORY_LOCATIONHINT	;Our people speak of the {0}.\n\nItems of great importance can be found there. Fate may be guiding you to them
HISTORY_OFFER_STORYCLUE	;We have discovered something remarkable that we believe you should see for yourself.\n\nWill you hear us out?
HISTORY_OFFER_STORYMESSAGE	;The Republic has received an important warning that concerns us all.\n\nWill you listen?
MININGRIGHTS_OFFER	;The Republic is pleased to offer you mining rights within our borders.\n\nYou may construct mining stations in our territory. May the resources serve you well
MININGRIGHTS_CANCEL	;Mining rights within our territory have been revoked.\n\nPlease remove your mining stations. We are sorry it has come to this
MILITARYREFUELING_OFFER	;Your military ships are welcome to refuel at our colonies and space ports.\n\nThe desert taught us the value of an oasis. Consider our ports yours
MILITARYREFUELING_CANCEL	;Your military refueling rights have been cancelled.\n\nYour warships may no longer refuel at our facilities. We hope to restore this privilege in better times
CANCELPIRATEPROTECTION	;We no longer require your protection. Our arrangement is ended
CANCELPIRATEPROTECTIONPIRATE	;We are ending our protection of your ships. The arrangement is cancelled
PIRATE_PROTECTIONPROPOSE_OFFER_ACCEPT	;We accept your offer of protection. We agree to pay {0} credits per month.\n\nShelter in the storm is always welcome
PIRATE_PROTECTIONPROPOSE_OFFER_REJECT	;We decline your offer of protection.\n\nThe Zakkal have learned to fend for themselves
PIRATE_EXTORTPROTECTION	;You may have noticed our ships approaching your territory. For {0} credits per month, this confrontation can be avoided.\n\nThe price has increased, given how far things have already progressed.\n\nWhat do you say?
PIRATE_TRUCEPROPOSE	;A truce benefits all parties. We can ensure safe passage through our domain if you agree
PIRATE_TRUCEPROPOSEINITIATE	;The void is dangerous enough without adding unnecessary enemies.\n\nA truce between us would ensure your ships travel safely through our territory.\n\nWhat do you say?
PIRATE_TRUCEACCEPTRESPONSE	;Good. Your ships will pass unmolested while our truce holds.\n\nFate smiles on those who choose peace
PIRATE_TRUCEREJECTRESPONSE	;As you wish. But without a truce, we cannot guarantee your safety.\n\nThe desert is unforgiving to those who refuse shelter
