'Distant Worlds - dialogue - Version 1.9.5.10 - Modded by the Distant Worlds Mod Editor by Sabranan

INFO_NOFUNDS	;It appears your treasury cannot cover this expense
INFO_OFFER_DEBRISFIELD	;There are opportunities hidden among the wreckage of ancient battles.\n\nWe have a discovery worth {0} credits.\n\nWhat do you say?
INFO_OFFER_RESTRICTEDAREA	;Some discoveries are dangerous but valuable.\n\nWe have intelligence worth {0} credits.\n\nShall we share it?
INFO_OFFER_PLANETDESTROYER	;We have located something extraordinary.\n\nThe implications are considerable. We would share this for {0} credits.\n\nWhat do you say?
GREETING_INTRODUCTION	;Greetings! We are the {0}.\n\nHumanity seeks partnership, prosperity, and mutual advancement.\n\nHow may we be of service?
GREETING_FRIENDLY	;Welcome back, friend.\n\nOur diplomatic channels are always open to valued partners. What shall we discuss?
GREETING_NEUTRAL	;You wished to speak with us?\n\nWe are listening.
GREETING_ANGRY	;Your recent actions have strained our patience considerably.\n\nWhat do you want?
OFFER_FREETRADE	;We propose a Free Trade Agreement between our empires.\n\nOpen markets drive innovation and prosperity for both sides.\n\nWhat do you say?
OFFER_PROTECTORATE	;Friends, we believe your empire would benefit from the security of a Protectorate treaty.\n\nOur Guardian defense systems would shield you from external threats.\n\nWhat do you think?
OFFER_MUTUALDEFENSE	;Good friends, we believe a Mutual Defense Pact would serve both our interests.\n\nCombined deterrence discourages adventurism from our rivals.\n\nWhat do you think?
OFFER_DEAL	;Would you consider this trade proposal?
OFFER_DEAL_RESPONSE	;What kind of arrangement did you have in mind?
OFFER_DEAL_TERRITORYMAP	;Shall we exchange territory maps? Mutual awareness benefits us both
OFFER_DEAL_GALAXYMAP	;Shall we exchange galaxy maps? Comprehensive intelligence is a shared advantage
OFFER_DEAL_COMPONENT	;We are prepared to share {0} with you for {1} credits.\n\nA fair exchange of technology and resources.\n\nWhat do you say?
DEAL_BEGIN	;We are open to proposals. What do you have in mind?
DEAL_OFFER	;Our diplomats propose the following exchange.\n\nWe offer: {0}...\n\n...in exchange for: {1}
DEAL_DEMAND	;We must insist on the following:\n\n{1}
DEAL_THREAT	;We require this from you:\n\n{1}\n\n...{0}
DEAL_ACCEPT	;We accept this proposal. A fair outcome for both parties
DEAL_ACCEPTCOMPLAIN	;We accept, though the terms are not ideal. Sometimes diplomacy requires compromise
DEAL_IMPROVE	;The proposal has merit but needs refinement. Can you improve the terms?
DEAL_REJECT	;This proposal does not serve our interests. We must decline
DEAL_REJECTCOMPLAIN	;Threats do not move us. Humanity has faced worse and prevailed
DEAL_REJECT_RESPONSE	;Disappointing, but we understand. Perhaps another time
DEAL_REJECTDEMAND_RESPONSE	;You reject a reasonable proposal?\n\nHumanity does not make demands without careful consideration. Remember this
DEAL_ACCEPT_RESPONSE	;An excellent outcome for both our peoples
MUTUALDEFENSE_ACCEPT	;A Mutual Defense Pact is most welcome.\n\nHumanity honors its commitments. You can rely on us
MUTUALDEFENSE_REJECT	;We appreciate the offer, but a defense pact does not align with our current strategic priorities
MUTUALDEFENSE_REQUESTHELP	;The {0} have attacked us! We invoke our mutual defense treaty.\n\nWill you stand with humanity in this hour of need?
MUTUALDEFENSE_HONORREQUESTHELP	;We honor our alliance. We declare war on the {0}!\n\nOur fleets are deploying
MUTUALDEFENSE_HONORREQUESTHELP_RESPONSE	;Your loyalty in this crisis will not be forgotten, friend
MUTUALDEFENSE_DECLINEREQUESTHELP	;We regret that our current commitments prevent us from joining this fight
MUTUALDEFENSE_DECLINEREQUESTHELP_RESPONSE	;We will not forget this abandonment. Alliances mean nothing without commitment
PROTECTORATE_ACCEPT	;We gratefully accept your Protectorate. Your protection strengthens our position
PROTECTORATE_REJECT	;Humanity prefers to stand on its own feet. We must decline
FREETRADE_ACCEPT	;Free Trade! An excellent arrangement. We accept with enthusiasm
FREETRADE_REJECT	;We cannot commit to a Free Trade Agreement at this time.\n\nOur economic priorities lie elsewhere
CANCELTREATY	;After careful deliberation, we have decided to end our {0} with you.\n\nThis was not a decision we made lightly
CANCELTREATY_RESPONSE_FRIENDLY	;We are saddened by this choice.\n\nWe had hoped this partnership would endure
CANCELTREATY_RESPONSE_NEUTRAL	;As you wish. The political landscape is always shifting
CANCELTREATY_RESPONSE_ANGRY	;Perhaps this was inevitable.\n\nHumanity will chart its own course
TREATY_PROPOSAL	;A treaty proposal? Our diplomats are intrigued.\n\nPresent the terms
TREATY_ACCEPTRESPONSE	;Excellent! A new partnership forged.\n\nMay it bring prosperity and security to both our peoples
TREATY_REJECTRESPONSE	;Disappointing. We had hoped for a more favorable response
SUBJUGATION_RELEASE_RESPONSE	;Freedom! Humanity is free once more.\n\nWe will rebuild and we will remember
SUBJUGATIONDEMAND_ACCEPT_RESPONSE	;You have submitted to our authority.\n\nServe faithfully and you will be treated fairly
WAR_END_ACCEPT_RESPONSE	;A wise choice. Let the healing begin
TRADESANCTIONS_IMPOSE	;We are imposing Trade Sanctions against your empire.\n\nThis is a measured response to your actions. All trade is terminated
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;Sanctions? Against humanity?\n\nWe have faced existential threats and prevailed. Your economic pressure will not break us
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;Your sanctions are noted.\n\nHumanity is resourceful. We will manage
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;Trade Sanctions? We thought our relationship was stronger than this.\n\nWhat have we done to warrant such action?
TRADESANCTIONS_LIFT	;We are lifting our Trade Sanctions against you.\n\nLet this mark a fresh start between our peoples
TRADESANCTIONS_LIFT_RESPONSE	;We welcome the return of open trade.\n\nLet us move forward constructively
TRADESANCTIONS_REQUESTLIFTOTHER	;We urge you to restore trade with the {0}.\n\nIsolation serves no one's long-term interests
TRADESANCTIONS_REQUESTLIFTOTHER_ACCEPT	;At your request, we will resume trade with the {0}
TRADESANCTIONS_REQUESTLIFTOTHER_REJECT	;We see no reason to restore trade with the {0} at this time
TRADESANCTIONS_REQUESTIMPOSEJOINT	;We request that you terminate trade with the {0}.\n\nCoordinated economic pressure sends a clear message
TRADESANCTIONS_REQUESTIMPOSEJOINT_ACCEPT	;At your request, we have terminated all trade with the {0}
TRADESANCTIONS_REQUESTIMPOSEJOINT_REJECT	;We see no basis for sanctioning the {0}. We must decline
WAR_DECLARE	;Humanity formally declares WAR on your empire.\n\nOur Guardian systems are active. Our missile fleets are launching.\n\nYou have pushed us past the point of diplomacy
WAR_DECLARE_RESPONSE_EAGER	;If war is what you seek, humanity will oblige.\n\nOur missile systems are locked. Our Guardian point defense is online.\n\nYou will find us more than ready
WAR_DECLARE_RESPONSE_NEUTRAL	;So be it. Humanity has never backed down from a fight.\n\nPrepare your defenses
WAR_DECLARE_RESPONSE_SURPRISED	;War? There must be some misunderstanding!\n\nWe sought only friendship and cooperation. What have we done?
WAR_DECLARE_REQUESTJOINT	;We formally request that you declare war on the {0}.\n\nThe situation demands coordinated action
WAR_DECLARE_REQUESTJOINT_ACCEPT	;At your request, we declare war on the {0}.\n\nOur fleets are mobilizing
WAR_DECLARE_REQUESTJOINT_REJECT	;We cannot declare war on the {0}.\n\nHumanity must choose its battles carefully
WAR_END	;This war has gone on long enough. We propose an immediate ceasefire.\n\nDiplomacy should resume where force has failed.\n\nWhat do you say?
WAR_END_SUBJUGATIONDEMAND	;We will end this war if you accept subjugation under human authority.\n\nSurvival through submission is still survival.\n\nDo you accept?
WAR_END_SUBJUGATIONOFFER	;Humanity offers itself as a subject of your empire to end this destructive war.\n\nWe have survived worse. We will survive this.\n\nWhat do you say?
WAR_END_ACCEPT	;Peace. Our forces are standing down.\n\nLet us rebuild what war has destroyed
WAR_END_REJECT	;No peace? Then humanity fights on.\n\nWe have a talent for survival that has been tested many times before
WAR_END_REQUESTOTHER	;We urge you to end your war with the {0}.\n\nThe galaxy has seen enough bloodshed
WAR_END_REQUESTOTHER_ACCEPT	;At your request, we will end our war with the {0}
WAR_END_REQUESTOTHER_REJECT	;We cannot end our conflict with the {0}.\n\nSome wars must be seen through to their conclusion
SUBJUGATIONDEMAND_ACCEPT	;Humanity accepts. We bow to superior force.\n\nBut remember: humans have a long history of rising again
SUBJUGATIONDEMAND_REJECT	;Humanity will never submit to subjugation!\n\nWe would rather fight to the last than live in chains
SUBJUGATIONOFFER_ACCEPT	;We accept your submission.\n\nServe faithfully, and human governance will treat you fairly
SUBJUGATIONOFFER_REJECT	;No. Your suffering has not yet earned you peace.\n\nThis war continues
SUBJUGATION_REQUESTRELEASE	;Humanity chafes under foreign rule. We ask for our freedom.\n\nOur people deserve self-determination
SUBJUGATION_RELEASE	;You are free. Use your independence wisely.\n\nHumanity wishes you well
SUBJUGATION_REFUSERELEASE	;Not yet. Your contribution to our empire remains valuable.\n\nPatience. Circumstances change
GIFT_GIVE	;Please accept {0} credits as a gesture of goodwill from humanity.\n\nStrong relationships require investment from both sides
GIFT_THANKS	;Your gift is deeply appreciated. Thank you.\n\nSuch generosity strengthens the bonds between our peoples
GIFT_PROPOSE	;You have a gift in mind? We are listening
WARNING	;You have a warning for us? Please proceed
WARNING_INTELLIGENCEMISSIONS	;We have detected your covert operations against our empire.\n\nHumanity takes a dim view of espionage against its allies.\n\nCease immediately, or face diplomatic consequences
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;Covert missions? There must be a misunderstanding.\n\nWe will investigate immediately and put a stop to any unauthorized activities
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;We will review our intelligence activities and take appropriate action
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;Our intelligence operations are a necessary response to your threatening posture.\n\nChange your behavior, and our operations will change
WARNING_ATTACKS	;Your military attacks against our forces must stop immediately.\n\nHumanity will defend itself with whatever means necessary
WARNING_ATTACKS_RESPONSE_FRIENDLY	;This is deeply troubling. Please accept our sincere apologies.\n\nThe responsible commanders will face consequences
WARNING_ATTACKS_RESPONSE_NEUTRAL	;We will investigate this incident and take corrective action
WARNING_ATTACKS_RESPONSE_ANGRY	;Our forces acted in defense of human interests.\n\nProvide fewer provocations, and there will be fewer incidents
WARNING_REMOVEFORCESSYSTEM	;We demand that you remove your military forces from the {0} system.\n\nYour presence in our territory is not welcome
WARNING_REMOVEFORCESSYSTEM_RESPONSE_COMPLY	;We see no reason to withdraw from the {0} system at this time
WARNING_REMOVEFORCESSYSTEM_RESPONSE_REFUSE	;We will comply with your request. Our forces are withdrawing from the {0} system
WARNING_REMOVEFORCESSYSTEM_RESPONSE_NOFORCESPRESENT	;You must be mistaken. We have no military forces in your territory
HISTORY_OFFER_LOCATIONHINT	;Our researchers have uncovered the location of historically significant artifacts.\n\nWould you like to know more?
HISTORY_LOCATIONHINT	;Our sources indicate the {0} holds items of great importance.\n\nIt may be worth investigating
HISTORY_OFFER_STORYCLUE	;We have discovered something remarkable that we believe you should see.\n\nDo we have your attention?
HISTORY_OFFER_STORYMESSAGE	;We have received an important warning that affects us all.\n\nAre you listening?
MININGRIGHTS_OFFER	;We are pleased to offer your empire mining rights within our borders.\n\nYou may construct mining stations in our territory
MININGRIGHTS_CANCEL	;Your mining rights within our borders have been revoked.\n\nPlease remove all mining stations from our territory
MILITARYREFUELING_OFFER	;Your military ships are welcome to refuel at our colonies and space ports.\n\nConsider it a practical extension of our partnership
MILITARYREFUELING_CANCEL	;Your military refueling rights have been cancelled.\n\nYour warships may no longer refuel at our facilities
CANCELPIRATEPROTECTION	;We no longer require your protection services. This arrangement is terminated
CANCELPIRATEPROTECTIONPIRATE	;We are ending our protection of your ships. The arrangement is cancelled
PIRATE_PROTECTIONPROPOSE_OFFER_ACCEPT	;We accept your protection. We agree to pay {0} credits per month.\n\nA sensible arrangement
PIRATE_PROTECTIONPROPOSE_OFFER_REJECT	;We decline your offer of protection.\n\nHumanity has its own defenses
PIRATE_EXTORTPROTECTION	;You may have noticed our forces approaching your territory. For {0} credits per month, this confrontation can be avoided.\n\nThe price has increased given how far things have progressed.\n\nYour decision?
PIRATE_TRUCEPROPOSE	;A truce serves both our interests. We can guarantee safe passage through our territory if you agree
PIRATE_TRUCEPROPOSEINITIATE	;Unnecessary conflict benefits no one.\n\nA truce between us would ensure your ships travel safely through our space.\n\nWhat do you say?
PIRATE_TRUCEACCEPTRESPONSE	;A sensible choice. Your ships will pass unmolested while our truce holds
PIRATE_TRUCEREJECTRESPONSE	;As you wish. Without a truce, we cannot guarantee your safety in our territory
